as_of_date,member_id,permno,symbol,ticker_history,company_name,current_security_name,start_date,end_date,source,quote_status
1957-12-31,permno-10970-19570301,10970,CIT,CIT,COMMERCIAL INVESTMENT TRUST CO; C I T FINANCIAL CORP,,1957-03-01,1980-02-13,wrds,auto
1957-12-31,permno-11287-19570301,11287,CITA,"AP, CDL, CITA",AMERICAN LOCOMOTIVE CO; ALCO PRODUCTS INC; ALCO PRODS INC; CITADEL INDUSTRIES INC,,1957-03-01,1965-01-06,wrds,ticker_history_requires_override
1957-12-31,permno-18446-19570301,18446,CKL,CKL,CLARK EQUIPMENT CO,,1957-03-01,1995-05-19,wrds,auto
1957-12-31,permno-11471-19570301,11471,CLL,CLL,CONOCO INC; CONTINENTAL OIL CO; MARLAND OIL CO,,1957-03-01,1981-10-14,wrds,auto
1957-12-31,permno-17312-19570301,17312,CLO,CLO,CELOTEX CO; CELOTEX CORP,,1957-03-01,1964-09-02,wrds,reused_symbol_requires_override
1957-12-31,permno-11295-19570301,11295,CLU,CLU,CLUETT PEABODY & CO INC,,1957-03-01,1986-01-22,wrds,auto
1957-12-31,permno-16926-19570301,16926,CMIL,CMIL,CANNON MILLS CO,,1957-03-01,1962-01-10,wrds,auto
1957-12-31,permno-23229-19570301,23229,CMS,CMS,CONSUMERS POWER CO; CONSUMERS PWR CO; C M S ENERGY CORP,,1957-03-01,1976-06-30,wrds,reused_symbol_requires_override
1957-12-31,permno-13434-19570301,13434,CN,CN,NEW YORK CENT RR CO,,1957-03-01,1968-01-31,wrds,auto
1957-12-31,permno-21151-19570301,21151,CNEO,"CUN, CNEO",CUNEO PRESS INC,,1957-03-01,1960-12-14,wrds,ticker_history_requires_override
1957-12-31,permno-21821-19570301,21821,CNG,CNG,CONSOLIDATED NATURAL GAS CO,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1957-12-31,permno-16723-19570301,16723,CNR,CNR,CONTAINER CORP AMER,,1957-03-01,1968-11-06,wrds,auto
1957-12-31,permno-11156-19570301,11156,CO,CO,CHESSIE SYSTEM INC; CHESAPEAKE & OHIO RAILWAY CO,,1957-03-01,1980-11-05,wrds,auto
1957-12-31,permno-24707-19570301,24707,COE,COE,CONE MILLS CORP,,1957-03-01,1984-04-11,wrds,auto
1957-12-31,permno-11375-19570301,11375,COG,COG,CONGOLEUM NAIRN INC,,1957-03-01,1960-02-03,wrds,reused_symbol_requires_override
1957-12-31,permno-17515-19570301,17515,CPC,CPC,CURTIS PUBLISHING CO,,1957-03-01,1968-05-22,wrds,auto
1957-12-31,permno-20036-19570301,20036,CPP,CPP,CHAMPION PAPER & FIBRE CO; CHAMPION PAPERS INC,,1957-03-01,1967-02-21,wrds,auto
1957-12-31,permno-19297-19570301,19297,CPS,CPS,COLUMBIA PICTURES INDS INC; COLUMBIA PICTURES CORP; COLUMBIA PICTURES INDS INC DE,,1957-03-01,1982-06-23,wrds,auto
1957-12-31,permno-23894-19570301,23894,CPX,CPX,COPPER RANGE CO,,1957-03-01,1975-12-10,wrds,auto
1957-12-31,permno-20204-19570301,20204,CR,CR,CRANE HOLDINGS CO; CRANE CO,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1957-12-31,permno-24571-19570301,24571,CS,CS,CITIES SERVICE CO,,1957-03-01,1982-12-08,wrds,reused_symbol_requires_override
1957-12-31,permno-11439-19570301,11439,CSC,CSC,PITTSBURGH COAL CO; PITTSBURGH CONSLDTN COAL CO; CONSOLIDATION COAL INC PA,,1957-03-01,1966-09-28,wrds,auto
